PRCE_REG_YMD,MRKT_ESNT_NO,MRKT_CODE,MRKT_NM,CTNP_CODE,CTNP_NM,SGGU_CODE,SGGU_NM,PDLT_CODE,PDLT_NM,SPCS_CODE,SPCS_NM,WSRT_EXMN_SE_CODE,EXMN_SE_NM,BULK_GRAD_CODE,BULK_GRAD_NM,PDLT_PRCE,MTC_SMT_UNIT_MG,MTC_SMT_UNIT_NM,WHSL_SMT_UNIT_MG,WHSL_SMT_UNIT_NM,DCNT_PRCE_YN,ETL_LDG_DT
20240202,21,250112,역전,25,대전,2501,대전,244,피마늘,22,난지(대서),2,도매,4,상품,50000,,,10.0,kg,N,20240217065957
20240205,21,250112,역전,25,대전,2501,대전,244,피마늘,22,난지(대서),2,도매,4,상품,50000,,,10.0,kg,N,20240220065942
20240206,21,250112,역전,25,대전,2501,대전,244,피마늘,22,난지(대서),2,도매,4,상품,50000,,,10.0,kg,N,20240221112510
20240207,21,250112,역전,25,대전,2501,대전,244,피마늘,22,난지(대서),2,도매,4,상품,50000,,,10.0,kg,N,20240222065940
20240208,21,250112,역전,25,대전,2501,대전,244,피마늘,22,난지(대서),2,도매,4,상품,50000,,,10.0,kg,N,20240223065943
20240213,21,250112,역전,25,대전,2501,대전,244,피마늘,22,난지(대서),2,도매,4,상품,50000,,,10.0,kg,N,20240228065936
20240214,21,250112,역전,25,대전,2501,대전,244,피마늘,22,난지(대서),2,도매,4,상품,50000,,,10.0,kg,N,20240229065935
20240215,21,250112,역전,25,대전,2501,대전,244,피마늘,22,난지(대서),2,도매,4,상품,50000,,,10.0,kg,N,20240301070020
20240216,21,250112,역전,25,대전,2501,대전,244,피마늘,22,난지(대서),2,도매,4,상품,50000,,,10.0,kg,N,20240302065953
20240219,21,250112,역전,25,대전,2501,대전,244,피마늘,22,난지(대서),2,도매,4,상품,50000,,,10.0,kg,N,20240305065952
20240220,21,250112,역전,25,대전,2501,대전,244,피마늘,22,난지(대서),2,도매,4,상품,50000,,,10.0,kg,N,20240306065941
20240221,21,250112,역전,25,대전,2501,대전,244,피마늘,22,난지(대서),2,도매,4,상품,50000,,,10.0,kg,N,20240307065956
20240222,21,250112,역전,25,대전,2501,대전,244,피마늘,22,난지(대서),2,도매,4,상품,50000,,,10.0,kg,N,20240308065948
20240223,21,250112,역전,25,대전,2501,대전,244,피마늘,22,난지(대서),2,도매,4,상품,50000,,,10.0,kg,N,20240309065947
20240226,21,250112,역전,25,대전,2501,대전,244,피마늘,22,난지(대서),2,도매,4,상품,50000,,,10.0,kg,N,20240312070022
20240227,21,250112,역전,25,대전,2501,대전,244,피마늘,22,난지(대서),2,도매,4,상품,50000,,,10.0,kg,N,20240313065944
20240228,21,250112,역전,25,대전,2501,대전,244,피마늘,22,난지(대서),2,도매,4,상품,50000,,,10.0,kg,N,20240314065945
20240229,21,250112,역전,25,대전,2501,대전,244,피마늘,22,난지(대서),2,도매,4,상품,50000,,,10.0,kg,N,20240318011344
20240304,21,250112,역전,25,대전,2501,대전,244,피마늘,22,난지(대서),2,도매,4,상품,50000,,,10.0,kg,N,20240319070511
20240305,21,250112,역전,25,대전,2501,대전,244,피마늘,22,난지(대서),2,도매,4,상품,50000,,,10.0,kg,N,20240320070501
20240306,21,250112,역전,25,대전,2501,대전,244,피마늘,22,난지(대서),2,도매,4,상품,50000,,,10.0,kg,N,20240321070453
20240307,21,250112,역전,25,대전,2501,대전,244,피마늘,22,난지(대서),2,도매,4,상품,50000,,,10.0,kg,N,20240322070436
20240308,21,250112,역전,25,대전,2501,대전,244,피마늘,3,한지,2,도매,4,상품,72500,1,kg,10.0,kg,N,20240323070536
20240308,21,250112,역전,25,대전,2501,대전,244,피마늘,22,난지(대서),2,도매,4,상품,50000,,,10.0,kg,N,20240323070536
20240311,21,250112,역전,25,대전,2501,대전,244,피마늘,22,난지(대서),2,도매,4,상품,50000,,,10.0,kg,N,20240326070457
20240311,21,250112,역전,25,대전,2501,대전,244,피마늘,3,한지,2,도매,4,상품,72500,1,kg,10.0,kg,N,20240326070457
20240312,21,250112,역전,25,대전,2501,대전,244,피마늘,3,한지,2,도매,4,상품,72500,1,kg,10.0,kg,N,20240327070513
20240312,21,250112,역전,25,대전,2501,대전,244,피마늘,22,난지(대서),2,도매,4,상품,50000,,,10.0,kg,N,20240327070513
20240313,21,250112,역전,25,대전,2501,대전,244,피마늘,3,한지,2,도매,4,상품,72500,1,kg,10.0,kg,N,20240328070517
20240313,21,250112,역전,25,대전,2501,대전,244,피마늘,22,난지(대서),2,도매,4,상품,50000,,,10.0,kg,N,20240328070517
20240314,21,250112,역전,25,대전,2501,대전,244,피마늘,3,한지,2,도매,4,상품,72500,1,kg,10.0,kg,N,20240329070517
20240314,21,250112,역전,25,대전,2501,대전,244,피마늘,22,난지(대서),2,도매,4,상품,50000,,,10.0,kg,N,20240329070517
20240315,21,250112,역전,25,대전,2501,대전,244,피마늘,3,한지,2,도매,4,상품,72500,1,kg,10.0,kg,N,20240330070516
20240315,21,250112,역전,25,대전,2501,대전,244,피마늘,22,난지(대서),2,도매,4,상품,50000,,,10.0,kg,N,20240330070516
20240318,21,250112,역전,25,대전,2501,대전,244,피마늘,22,난지(대서),2,도매,4,상품,50000,,,10.0,kg,N,20240402070508
20240318,21,250112,역전,25,대전,2501,대전,244,피마늘,3,한지,2,도매,4,상품,72500,1,kg,10.0,kg,N,20240402070508
20240319,21,250112,역전,25,대전,2501,대전,244,피마늘,22,난지(대서),2,도매,4,상품,50000,,,10.0,kg,N,20240403070538
20240319,21,250112,역전,25,대전,2501,대전,244,피마늘,3,한지,2,도매,4,상품,72500,1,kg,10.0,kg,N,20240403070538
20240320,21,250112,역전,25,대전,2501,대전,244,피마늘,3,한지,2,도매,4,상품,68300,1,kg,10.0,kg,N,20240404070521
20240320,21,250112,역전,25,대전,2501,대전,244,피마늘,22,난지(대서),2,도매,4,상품,50000,,,10.0,kg,N,20240404070521
20240321,21,250112,역전,25,대전,2501,대전,244,피마늘,3,한지,2,도매,4,상품,68300,1,kg,10.0,kg,N,20240405070503
20240321,21,250112,역전,25,대전,2501,대전,244,피마늘,22,난지(대서),2,도매,4,상품,50000,,,10.0,kg,N,20240405070503
20240322,21,250112,역전,25,대전,2501,대전,244,피마늘,3,한지,2,도매,4,상품,68300,1,kg,10.0,kg,N,20240406070524
