Date,Predicted_Price
2025-03-01,907
2025-03-02,924
2025-03-03,867
2025-03-04,867
2025-03-05,836
2025-03-06,799
2025-03-07,1069
2025-03-08,1045
2025-03-09,1085
2025-03-10,1033
2025-03-11,1024
2025-03-12,977
2025-03-13,978
2025-03-14,931
