PRCE_REG_YMD,PDLT_PRCE,price_pct,MA_7,MA_14,weekday,crop_name
2023-12-04,415,,,,Monday,감자
2023-12-05,415,0.0,,,Tuesday,감자
2023-12-06,415,0.0,,,Wednesday,감자
2023-12-07,415,0.0,,,Thursday,감자
2023-12-08,415,0.0,,,Friday,감자
2023-12-08,324,-21.927710843373493,,,Friday,감자
2023-12-11,415,28.08641975308641,402.0,,Monday,감자
2023-12-11,324,-21.927710843373493,389.0,,Monday,감자
2023-12-12,415,28.08641975308641,389.0,,Tuesday,감자
2023-12-12,324,-21.927710843373493,376.0,,Tuesday,감자
2023-12-13,415,28.08641975308641,376.0,,Wednesday,감자
2023-12-13,324,-21.927710843373493,363.0,,Wednesday,감자
2024-01-18,1030,217.9012345679012,463.85714285714283,,Thursday,감자
2024-01-19,1030,0.0,551.7142857142857,476.85714285714283,Friday,감자
2024-01-22,1030,0.0,652.5714285714286,520.7857142857143,Monday,감자
2024-01-23,1030,0.0,740.4285714285714,564.7142857142857,Tuesday,감자
2024-01-24,1030,0.0,841.2857142857143,608.6428571428571,Wednesday,감자
2024-01-25,1030,0.0,929.1428571428571,652.5714285714286,Thursday,감자
2024-01-26,960,-6.796116504854366,1020.0,691.5,Friday,감자
2024-01-29,960,0.0,1010.0,736.9285714285714,Monday,감자
2024-01-30,960,0.0,1000.0,775.8571428571429,Tuesday,감자
2024-01-31,960,0.0,990.0,821.2857142857143,Wednesday,감자
2024-02-22,687,-28.437500000000004,941.0,840.7142857142857,Thursday,감자
2024-02-23,687,0.0,892.0,866.6428571428571,Friday,감자
2024-02-26,687,0.0,843.0,886.0714285714286,Monday,감자
2024-02-27,687,0.0,804.0,912.0,Tuesday,감자
2024-02-28,687,0.0,765.0,887.5,Wednesday,감자
2024-02-29,687,0.0,726.0,863.0,Thursday,감자
2024-03-04,687,0.0,687.0,838.5,Monday,감자
2024-03-05,687,0.0,687.0,814.0,Tuesday,감자
2024-03-06,687,0.0,687.0,789.5,Wednesday,감자
2024-03-07,687,0.0,687.0,765.0,Thursday,감자
2024-03-08,687,0.0,687.0,745.5,Friday,감자
2024-03-11,687,0.0,687.0,726.0,Monday,감자
2024-03-12,687,0.0,687.0,706.5,Tuesday,감자
2024-03-13,687,0.0,687.0,687.0,Wednesday,감자
2024-03-14,610,-11.208151382823871,676.0,681.5,Thursday,감자
2024-03-15,610,0.0,665.0,676.0,Friday,감자
2024-03-18,610,0.0,654.0,670.5,Monday,감자
2024-03-19,610,0.0,643.0,665.0,Tuesday,감자
2024-03-20,610,0.0,632.0,659.5,Wednesday,감자
2024-03-21,776,27.213114754098356,644.7142857142857,665.8571428571429,Thursday,감자
2024-03-22,776,0.0,657.4285714285714,672.2142857142857,Friday,감자
2024-03-25,776,0.0,681.1428571428571,678.5714285714286,Monday,감자
2024-03-26,776,0.0,704.8571428571429,684.9285714285714,Tuesday,감자
2024-03-27,776,0.0,728.5714285714286,691.2857142857143,Wednesday,감자
2024-03-28,776,0.0,752.2857142857143,697.6428571428571,Thursday,감자
2024-03-29,776,0.0,776.0,704.0,Friday,감자
2024-04-01,776,0.0,776.0,710.3571428571429,Monday,감자
2024-04-02,776,0.0,776.0,716.7142857142857,Tuesday,감자
2024-04-03,776,0.0,776.0,728.5714285714286,Wednesday,감자
2024-04-04,776,0.0,776.0,740.4285714285714,Thursday,감자
2024-04-05,776,0.0,776.0,752.2857142857143,Friday,감자
2024-04-08,776,0.0,776.0,764.1428571428571,Monday,감자
2024-04-09,776,0.0,776.0,776.0,Tuesday,감자
2024-04-11,776,0.0,776.0,776.0,Thursday,감자
2024-04-12,776,0.0,776.0,776.0,Friday,감자
2024-04-15,776,0.0,776.0,776.0,Monday,감자
2024-04-16,776,0.0,776.0,776.0,Tuesday,감자
2024-04-17,776,0.0,776.0,776.0,Wednesday,감자
2024-04-18,698,-10.051546391752575,764.8571428571429,770.4285714285714,Thursday,감자
2024-04-19,698,0.0,753.7142857142857,764.8571428571429,Friday,감자
2024-04-22,698,0.0,742.5714285714286,759.2857142857143,Monday,감자
2024-04-23,698,0.0,731.4285714285714,753.7142857142857,Tuesday,감자
2024-04-24,698,0.0,720.2857142857143,748.1428571428571,Wednesday,감자
2024-04-25,665,-4.727793696275073,704.4285714285714,740.2142857142857,Thursday,감자
2024-04-26,665,0.0,688.5714285714286,732.2857142857143,Friday,감자
2024-04-29,721,8.421052631578952,691.8571428571429,728.3571428571429,Monday,감자
2024-04-30,721,0.0,695.1428571428571,724.4285714285714,Tuesday,감자
2024-05-02,721,0.0,698.4285714285714,720.5,Thursday,감자
2024-05-03,721,0.0,701.7142857142857,716.5714285714286,Friday,감자
2024-05-07,721,0.0,705.0,712.6428571428571,Tuesday,감자
2024-05-08,721,0.0,713.0,708.7142857142857,Wednesday,감자
2024-05-09,721,0.0,721.0,704.7857142857143,Thursday,감자
2024-05-10,721,0.0,721.0,706.4285714285714,Friday,감자
2024-05-13,721,0.0,721.0,708.0714285714286,Monday,감자
2024-05-14,721,0.0,721.0,709.7142857142857,Tuesday,감자
2024-05-16,665,-7.7669902912621325,713.0,707.3571428571429,Thursday,감자
2024-05-17,665,0.0,705.0,705.0,Friday,감자
2024-05-20,665,0.0,697.0,705.0,Monday,감자
2024-05-21,665,0.0,689.0,705.0,Tuesday,감자
2024-05-22,665,0.0,681.0,701.0,Wednesday,감자
2024-05-23,665,0.0,673.0,697.0,Thursday,감자
2024-05-24,665,0.0,665.0,693.0,Friday,감자
2024-05-27,665,0.0,665.0,689.0,Monday,감자
2024-05-28,665,0.0,665.0,685.0,Tuesday,감자
2024-05-29,665,0.0,665.0,681.0,Wednesday,감자
2024-05-30,665,0.0,665.0,677.0,Thursday,감자
2024-05-31,610,-8.270676691729328,657.1428571428571,669.0714285714286,Friday,감자
2024-06-03,610,0.0,649.2857142857143,661.1428571428571,Monday,감자
2024-06-04,610,0.0,641.4285714285714,653.2142857142857,Tuesday,감자
2024-06-07,354,-41.967213114754095,597.0,631.0,Friday,감자
2024-06-10,354,0.0,552.5714285714286,608.7857142857143,Monday,감자
2024-06-11,354,0.0,508.14285714285717,586.5714285714286,Tuesday,감자
2024-06-12,354,0.0,463.7142857142857,564.3571428571429,Wednesday,감자
2024-06-13,387,9.322033898305083,431.85714285714283,544.5,Thursday,감자
2024-06-14,387,0.0,400.0,524.6428571428571,Friday,감자
