Date,Predicted_Price
2025-03-01,241
2025-03-02,231
2025-03-03,235
2025-03-04,235
2025-03-05,231
2025-03-06,229
2025-03-07,228
2025-03-08,225
2025-03-09,224
2025-03-10,227
2025-03-11,227
2025-03-12,220
2025-03-13,225
2025-03-14,215
